Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,87,86,2,2.33,24.02,1,1.15,0,0.00,0.00,3.38,4.97,23.42,100.0,0.0,0,4.20,5,1,4,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (1585-A & F),685073,5579,1585,233,226,4,1.77,17.95,7,3.00,2,0.86,0.00,4.47,6.19,21.90,98.68,1.32,133,4.74,27,1,24,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,363,359,15,4.18,74.17,4,1.10,1,0.28,0.00,4.54,6.31,22.78,97.93,2.07,209,4.53,17,1,13,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,613,609,24,3.94,174.85,4,0.65,3,0.49,0.00,5.02,6.57,24.13,98.96,1.04,104,4.42,50,5,39,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,241,239,4,1.67,21.30,2,0.83,0,0.00,0.00,4.74,6.18,22.79,99.64,0.36,30,4.80,10,0,8,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,166,163,5,3.07,16.81,3,1.81,0,0.00,0.00,3.52,5.30,22.75,100.0,0.0,0,4.45,11,1,8,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (7253-BAY COLONY),688121,5579,7253,131,129,3,2.33,7.07,2,1.53,2,1.53,0.00,3.82,5.44,27.24,99.51,0.49,41,4.63,8,0,6,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1013-NORTH POMPANO),677517,5579,1013,11,10,2,20.00,3.46,1,9.09,0,0.00,0.00,7.07,9.13,21.90,100.0,0.0,0,1.00,1,1,0,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,15,15,2,13.33,7.76,0,0.00,0,0.00,0.00,4.70,5.73,18.93,100.0,0.0,0,5.00,2,0,2,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,48,46,2,4.35,13.20,2,4.17,1,2.08,0.00,5.56,6.56,24.33,100.0,0.0,0,3.38,8,3,4,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,7,7,0,0.00,0.00,0,0.00,0,0.00,0.00,4.08,5.02,18.86,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2011-CORAL RIDGE),680386,5579,2011,11,11,2,18.18,22.53,0,0.00,0,0.00,0.00,5.81,7.48,24.73,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,78,77,6,7.79,31.73,1,1.28,0,0.00,0.00,5.11,7.23,24.23,98.26,1.74,25,4.33,6,1,5,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,23,23,1,4.35,0.22,0,0.00,0,0.00,0.00,5.75,6.55,22.30,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (681-COMMERCIAL),684427,5579,681,17,17,1,5.88,12.98,0,0.00,0,0.00,0.00,3.91,4.91,20.71,100.0,0.0,0,3.67,3,1,2,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (6712-EXECUTIVE),684429,5579,6712,15,15,1,6.67,6.69,0,0.00,0,0.00,0.00,3.57,6.64,22.33,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,52,49,4,8.16,39.43,3,5.77,0,0.00,0.00,4.66,5.73,20.69,99.44,0.56,8,4.00,4,1,3,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,38,38,0,0.00,0.00,0,0.00,0,0.00,0.00,4.85,6.82,20.66,99.37,0.63,9,5.00,3,0,3,USD
Week of 2025-05-26,2025-05-26,2025-06-01,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,15,15,1,6.67,5.24,0,0.00,0,0.00,0.00,4.38,5.82,19.21,100.0,0.0,0,3.00,2,1,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (5990-SOUTHGATE),684457,5579,5990,34,34,2,5.88,4.30,0,0.00,0,0.00,0.00,3.49,5.20,21.06,100.0,0.0,0,4.00,1,0,0,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2565-5TH AVENUE),684468,5579,2565,33,33,1,3.03,8.64,0,0.00,0,0.00,0.00,3.98,5.11,20.88,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (3555-TAMARAC),684472,5579,3555,34,31,0,0.00,0.00,3,8.82,1,2.94,0.00,5.35,6.75,24.35,100.0,0.0,0,5.00,3,0,3,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,62,62,4,6.45,18.41,0,0.00,0,0.00,0.00,5.56,7.78,23.44,97.92,2.08,30,4.00,4,1,3,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (10671-LAKEWOOD),684491,5579,10671,36,36,2,5.56,6.27,0,0.00,0,0.00,0.00,3.90,5.67,19.94,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (32379-MIRABELLA),684546,5579,32379,58,57,1,1.75,2.21,1,1.72,0,0.00,0.00,4.05,6.02,24.66,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,59,56,3,5.36,13.05,3,5.08,0,0.00,0.00,5.78,7.11,21.09,100.0,0.0,0,5.00,6,0,6,USD
Week of 2025-05-26,2025-05-26,2025-06-01,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,33,33,0,0.00,0.00,0,0.00,0,0.00,0.00,3.37,4.40,30.45,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (24106-PALM AIRE),684906,5579,24106,22,21,0,0.00,0.00,1,4.55,1,4.55,0.00,4.05,6.55,24.05,100.0,0.0,0,5.00,2,0,2,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,22,22,2,9.09,9.69,0,0.00,0,0.00,0.00,4.89,6.89,22.36,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,29,29,2,6.90,18.10,0,0.00,0,0.00,0.00,3.26,4.91,23.76,100.0,0.0,0,3.67,3,1,2,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,50,48,3,6.25,13.04,2,4.00,0,0.00,0.00,4.60,6.32,23.04,100.0,0.0,0,4.50,2,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,13,13,0,0.00,0.00,0,0.00,0,0.00,0.00,2.96,4.72,22.31,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1585-A & F),685073,5579,1585,40,37,0,0.00,0.00,3,7.50,1,2.50,2.50,6.27,8.35,22.08,95.83,4.17,60,3.00,2,1,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,38,38,0,0.00,0.00,0,0.00,0,0.00,0.00,5.06,7.06,21.29,99.24,0.76,11,0.00,0,0,0,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,97,97,2,2.06,13.61,0,0.00,0,0.00,1.03,4.47,5.97,21.94,99.43,0.57,8,4.42,12,1,9,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,30,30,0,0.00,0.00,0,0.00,0,0.00,0.00,7.60,8.75,23.10,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,17,16,0,0.00,0.00,1,5.88,0,0.00,0.00,3.16,6.74,23.75,100.0,0.0,0,5.00,2,0,2,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (7253-BAY COLONY),688121,5579,7253,20,20,1,5.00,6.28,0,0.00,0,0.00,0.00,3.64,6.69,20.25,100.0,0.0,0,0.00,0,0,0,USD
