Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (5990-SOUTHGATE),684457,5579,5990,269,268,16,5.97,85.37,1,0.37,0,0.00,0.37,6.30,7.71,22.58,99.33,0.67,59,4.45,20,0,10,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (2565-5TH AVENUE),684468,5579,2565,254,249,10,4.02,23.26,5,1.97,1,0.39,0.00,4.29,6.13,21.99,99.66,0.34,30,3.83,12,3,7,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (3555-TAMARAC),684472,5579,3555,240,239,8,3.35,62.01,1,0.42,0,0.00,0.42,5.44,7.22,23.90,99.29,0.71,72,3.13,8,3,2,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,504,489,31,6.34,177.37,15,2.98,5,0.99,0.40,6.19,8.35,24.35,97.83,2.17,219,3.65,20,3,7,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (10671-LAKEWOOD),684491,5579,10671,229,228,7,3.07,34.50,1,0.44,0,0.00,0.00,4.30,6.05,22.02,99.64,0.36,30,4.45,11,1,8,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (32379-MIRABELLA),684546,5579,32379,569,562,18,3.20,88.74,7,1.23,3,0.53,0.35,3.70,5.23,22.19,99.21,0.79,80,4.44,34,3,24,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,462,453,13,2.87,85.91,9,1.95,3,0.65,0.00,5.94,7.55,24.07,97.52,2.48,250,3.86,35,5,15,USD
Week of 2025-07-07,2025-07-07,2025-07-13,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,192,190,2,1.05,14.21,2,1.04,0,0.00,0.00,3.78,5.29,48.77,100.0,0.0,0,4.43,7,1,6,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (24106-PALM AIRE),684906,5579,24106,188,184,4,2.17,40.38,4,2.13,2,1.06,2.66,4.70,6.83,25.02,99.49,0.51,51,4.91,11,0,10,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,220,217,9,4.15,63.98,3,1.36,0,0.00,0.00,3.66,5.78,19.89,100.0,0.0,0,4.08,12,2,7,USD
