Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Alcohol Flat Fee,Alcohol Flat Fee Tax,Bag Fee,Bag Fee Tax,Cup Fee,Cup Fee Tax,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Subscription Fee,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
684917,McDonald's (24636-COPANS RD. & I - 95),5579,24636,2025-08-04,USD,4358.07,0.00,526.43,0.00,0.00,740.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.38,90.47,2981.69,3072.16,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503848386,PAID,257.71,0.00,0.00,0.00,0.00,0.00,0.00,-660.32,-17.09,0.00,-151.25,88.15,0.00,19.41
684918,McDonald's (6653-DEERFIELD BEACH),5579,6653,2025-08-04,USD,5880.82,0.00,657.98,0.00,0.00,923.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.20,85.24,4156.14,4241.38,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503848851,PAID,354.33,0.00,0.00,0.00,0.00,0.00,0.00,-800.12,-15.33,0.00,-177.38,68.96,0.00,31.61
685069,McDonald's (4112-SAMPLE ROAD),5579,4112,2025-08-04,USD,4966.99,0.00,572.97,0.00,0.00,726.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.59,82.15,3540.36,3622.51,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503849891,PAID,301.36,0.00,0.00,0.00,0.00,0.00,0.00,-631.54,-33.49,0.00,-159.53,97.98,0.00,17.66
685071,McDonald's (36313-ATLANTIC EXTENSION II),5579,36313,2025-08-04,USD,2586.22,0.00,309.86,0.00,0.00,475.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.21,49.63,1673.75,1723.38,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503848510,PAID,151.57,0.00,0.00,0.00,0.00,0.00,0.00,-414.08,-6.83,-14.33,-100.32,45.77,14.33,10.69
685073,McDonald's (1585-A & F),5579,1585,2025-08-04,USD,5580.27,0.00,687.04,0.00,0.00,799.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.95,83.28,4024.62,4107.90,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503850598,PAID,339.20,0.00,0.00,0.00,0.00,0.00,0.00,-687.33,-46.17,-7.27,-167.33,101.63,7.27,27.82
685633,McDonald's (1868-PEMBROKE PINES),5579,1868,2025-08-04,USD,7699.85,0.00,871.03,0.00,0.00,1240.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.58,89.30,5465.41,5554.71,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503850365,PAID,458.20,0.00,0.00,0.00,0.00,0.00,0.00,-1074.57,-79.49,-17.39,-218.26,131.87,17.39,36.92
686273,McDonald's (10881-CONGRESS & 22ND),5579,10881,2025-08-04,USD,11452.90,0.00,1433.03,0.00,0.00,1705.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.82,200.49,8046.57,8247.06,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503840851,PAID,689.37,0.00,0.00,0.00,0.00,0.00,0.00,-1487.16,-115.94,-5.48,-365.32,262.47,5.48,53.96
687543,McDonald's (3482-BOYNTON BEACH),5579,3482,2025-08-04,USD,4167.97,0.00,521.48,0.00,0.00,608.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.05,67.03,2982.78,3049.81,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503846043,PAID,252.52,0.00,0.00,0.00,0.00,0.00,0.00,-530.26,-33.46,-11.78,-122.40,77.65,11.78,22.84
687850,McDonald's (5002-CYPRESS CREEK & POWERLINE),5579,5002,2025-08-04,USD,3194.05,0.00,364.75,0.00,0.00,488.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.32,60.65,2232.62,2293.27,2025-07-28,2025-08-03,2025-07-28,2025-08-04,503846941,PAID,191.48,0.00,0.00,0.00,0.00,0.00,0.00,-438.82,-23.23,-4.99,-86.54,60.27,4.99,23.61
688121,McDonald's (7253-BAY COLONY),5579,7253,2025-08-04,USD,3147.82,0.00,350.94,0.00,0.00,529.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,37.16,2229.60,2266.76,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503842085,PAID,187.41,0.00,0.00,0.00,0.00,0.00,0.00,-458.60,-10.27,0.00,-95.59,34.58,0.00,12.85
